,Name,上市前/上市后,报表类型,公司类型,一、营业总收入(百万元),营业收入(百万元),二、营业总成本(百万元),营业成本(百万元),研发费用(百万元),税金及附加(百万元),销售费用(百万元),管理费用(百万元),财务费用(百万元),其中:利息费用(百万元),利息收入(百万元),资产减值损失(百万元),三、其他经营收益,加:公允价值变动收益(百万元),加:投资收益(百万元),其中:对联营企业和合营企业的投资收益(百万元),资产处置收益(百万元),资产减值损失(新)(百万元),信用减值损失(新)(百万元),其他收益(百万元),营业利润平衡项目(百万元),四、营业利润(百万元),加:营业外收入(百万元),其中:非流动资产处置利得(百万元),减:营业外支出(百万元),其中:非流动资产处置净损失(百万元),利润总额平衡项目(百万元),五、利润总额(百万元),减:所得税费用(百万元),六、净利润(百万元),(一)按经营持续性分类,持续经营净利润(百万元),(二)按所有权归属分类,归属于母公司股东的净利润(百万元),少数股东损益(百万元),扣除非经常性损益后的净利润(百万元),七、每股收益,(一)基本每股收益(元),(二)稀释每股收益(元),八、其他综合收益(百万元),归属于母公司股东的其他综合收益(百万元),归属于少数股东的其他综合收益(百万元),九、综合收益总额(百万元),归属于母公司所有者的综合收益总额(百万元),归属于少数股东的综合收益总额(百万元),公告日期,数据来源,审计意见(境内)
0,2020,,,,0.1298702752351064,0.1298702752351064,0.14483940697532827,0.13421295499807973,0.17097264437689974,0.015475054747667194,0.10849266893049059,-0.010722230116647191,-0.06394938525184923,-0.07569562182108303,-0.15957446808510634,,,,-11.61359706446167,-4.6121781535866155,-1.890579787804094,39.63157894736841,0.017432028099388486,0.2738906109943897,,0.23860069452539245,-0.47152255754354433,,8.46359873052654,,,0.11692970853925022,0.04130462086656772,0.11629095521808996,,0.1369202553557609,,0.13897075431575745,-1.7786609487162541,0.23452938529051748,,0.15634176533226474,0.15634176533226474,-2.5637491461798882,-2.870979248358627,,0.02882118527210431,0.0370876013607373,-1.5562068190934484,,,
1,2019,,,,0.29646456539436117,0.29646456539436117,0.3075031341977805,0.34339991401194614,0.3748356807511737,-0.08811495858696738,0.3957311089303239,0.11924519023910518,0.06246496119913836,-0.005507675047172311,-0.4542735042735042,,,,-0.16915674854393514,1.9358974358974357,-0.7664233576642336,,,0.327427411801436,,-0.00046844033391391093,-0.2097165991902833,,-0.436650868878357,,,0.006766594266892634,-0.2149449700714423,0.1059258363702309,,0.1059258363702309,,0.05567070350639791,-6.0062500000000005,0.035942474944975045,,0.0625,0.0625,-1.2890028251543373,-1.2515433713508424,,0.38169707500724015,0.3115603621318259,-6.752083333333333,0.00858290304073428,,
2,2018,,,,0.36757618105876344,0.36757618105876344,0.3894813793679639,0.4320026499254108,,0.14121398473977886,0.05105724600309425,0.06948461740731005,0.5823606312447476,,,-0.41859097502646325,,,0.49583333333333357,-0.9417040358744395,59.28,,,-0.22039673846902763,,0.015849968275660098,3.0447598253275103,,0.12114771519659939,,,0.04679692184689199,1.4954225691432979,-0.16896556673508345,,-0.16896556673508345,,0.45460208302187666,-1.0162502539102174,0.4524659362487975,,0.4545454545454546,0.4545454545454546,-1.550328227571116,-1.550328227571116,,-0.4445810402472512,-0.15092173913043472,-1.0162502539102174,0.00844711872251791,,
3,2017,,,,0.9956308818812631,0.9956308818812631,0.9383557761601307,1.077126532484432,,0.410149349606552,0.15537017726798763,0.017150880946808833,1.5173953925716974,,,1.202867259694274,,-1.0,1.9365962180200218,-13.38888888888889,,,,,,3.499121651295564,-0.9336328068395885,,1.7196531791907512,,,1.5838605551969014,-0.5478825374695016,7.678500249128053,,,,3.418097754293262,-28.971590909090907,15.728452751817237,,2.666666666666667,2.666666666666667,,,,9.841679123069257,5.329810656098635,-28.971590909090907,0.008636788048552724,,
4,2016,,,,-0.2192230344138859,-0.2192230344138859,-0.2149435279197901,-0.19949153286477728,,0.24789579158316633,-0.1469055788537299,-0.14676517571884984,-0.4167409337080963,,,-0.6213290601085748,,-1.3333333333333335,-0.6201943388255176,-1.0582838640043173,,,,,,-0.3495447241564007,0.1324253363964556,8.901408450704226,-0.6927175843694493,-0.8412544455221468,,-0.15847232031292435,-0.26080515297906604,0.39278278972935454,,,,-0.7211101559621761,-0.9606087735004476,-0.9272521246458924,,-0.6666666666666667,-0.6666666666666667,,,,0.39278278972935454,-0.7211101559621761,-0.9606087735004476,0.00856954515491104,,
5,2015,,,,0.12178840425295023,0.12178840425295023,0.1510076935177631,0.2770749658504761,,1.5151209677419355,0.35159738921332884,-0.08870894368119375,-0.5154625477495433,,,-0.2249708521315964,,0.5,-27.01098901098901,-4.676587301587302,,,,,,-0.24312856409286232,0.5744735822245188,0.9189189189189189,0.6558823529411766,1.152400835073069,,-0.13788581331085192,0.8983859134262655,-0.7812191604038563,,,,-0.4934606472481843,-0.2937271122586085,-0.5685581122482237,,-0.6666666666666667,-0.6666666666666667,,,,-0.7812191604038563,-0.4934606472481843,-0.2937271122586085,0.009003016842055178,,
6,2014,,,,-0.31092088815653585,-0.31092088815653585,-0.26369195129835155,-0.27209588347360547,,-0.4339514978601997,0.1344505066250974,-0.11211512717536809,-0.10873941618805127,,,-0.46928343713428655,,-1.6666666666666667,-0.8534621578099839,-0.5177033492822967,,,,,,-0.6445151125031223,-0.5610184870137236,,1.3394495412844032,2.2659090909090907,,-0.646647027671124,-0.36702786377708974,-0.7226970360390704,,,,-0.5915169071077824,-0.39181220958179785,-0.5792577152769683,,-0.5846153846153845,-0.5846153846153845,,,,-0.7226970360390704,-0.5915169071077824,-0.39181220958179785,0.009229957805907185,,
7,2013,,,,-0.08329807666296962,-0.08329807666296962,0.029198132561518042,-0.006459924508271708,,-0.6707683637046777,0.11395702192316048,0.07151071485983485,0.4702067464635473,,,0.2443257900374931,,5.0,0.2857142857142856,0.07069672131147531,,,,,,-0.4854258537839389,1.0997856632531553,,-0.18959107806691444,-0.5159515951595159,,-0.42342961287798553,-0.3894716945468293,-0.43201831736143903,,,,0.04224764628768907,-4.844163843547891,-0.0011368850718772583,,0.048387096774193505,0.048387096774193505,,,,-0.43201831736143903,0.04224764628768907,-4.844163843547891,0.008437492444938632,,
8,2012,,,,-0.19833955861509023,-0.19833955861509023,0.690861021525538,0.7294912660971569,,-0.32620253164556967,-0.1336968785257615,0.29286970423661085,0.7876595082477433,,,2.639376218323587,,-0.9230769230769231,-2.0168421052631578,-2.618573797678275,,,,,,-0.7216252518468771,0.6979377274565306,,-0.7325379070345512,-0.7592052980132451,,-0.7119145631601735,-0.746067173044386,-0.7017673980755277,,,,-0.5657856153080996,-0.9237932960631622,-0.5810568478195377,,-0.7839721254355401,-0.7839721254355401,,,,-0.7017673980755277,-0.5657856153080996,-0.9237932960631622,0.008976704476155728,,
9,2011,,,,1.192543087216667,1.192543087216667,0.23868750036290587,0.17545673905549797,,2.737875561864206,0.33450439146800504,0.2758536286868192,0.17262773722627744,,,0.7553464499572284,,-4.25,-0.437869822485207,1.830985915492958,,,,,,2.9881009879253564,0.21762678483505682,,0.9624390243902436,1.127959413754228,,2.949552689292772,2.5385758566515224,3.090737364160164,,,,3.633321789168021,2.434118898703978,3.6741366592905518,,2.086021505376344,2.086021505376344,,,,3.090737364160164,3.633321789168021,2.434118898703978,0.008735236220472453,,
10,2010,,,,1.0277752067135628,1.0277752067135628,0.38450778389198637,0.34105800538650155,,0.9031967582170195,0.48251488095238115,0.5083994831087317,-0.04703938787931494,,,9.93801169590643,,-0.5,-4.2251908396946565,-1.585164835164835,,,,,,16.760015596061994,-0.46198675496688746,,3.4565217391304355,7.328638497652582,,9.618018329586718,6.389708189519924,11.491800291545188,,,,12.461359153666846,10.490275977032784,58.22557585385226,,12.285714285714285,12.285714285714285,,,,11.241964285714285,12.228898678414097,10.226203402099168,0.008812212982499679,,
11,2009,,,,-0.19587168481901407,-0.19587168481901407,-0.16557213196130782,-0.2014220766974436,,0.09301181102362199,0.0011173184357540222,0.3574173070497828,0.2834505077558309,,,-0.9244165487977369,,-2.0,3.5964912280701764,3.2823529411764705,,,,,,-0.5768263003753661,0.7328436997934358,,-0.7686116700201208,-0.8721488595438176,,-0.348076055914625,0.7189859762675297,-0.5207614722962057,,,,-0.6702536510376633,-0.09866444073455749,-0.9187322489026595,,-0.6666666666666666,-0.6666666666666666,,,,,,,0.009042180142270206,,
12,2008,,,,0.29003556583279644,0.29003556583279644,0.5519730986054792,0.5654771252504822,,-0.24852071005917153,-0.2133020802812775,0.295530786711395,1.3675033025099075,,,1.4965791216067093,,,-1.1706586826347305,-1.234159779614325,,,,,,-0.5833390622851643,0.15447800741918383,,-0.8098153640103319,-0.8039769384633486,,-0.4833223313788684,-0.6694597967552149,-0.43150395909350414,,,,-0.45114392341392173,-0.36760979729729726,-0.6000619578686494,,-0.7236842105263158,-0.7236842105263158,,,,,,,0.009737221477528424,,
13,2007,,,,0.5533411634569374,0.5533411634569374,0.32788426313133745,0.328634500947278,,1.6303501945525292,0.4328295549958019,0.6217971217971219,0.34841467759173494,,,-0.3745168415240199,,,-2.988095238095238,4.950819672131147,,,,,,2.617508082566526,2.9726315789473685,,3.4862660944206008,2.932901434521055,,2.5028563656147984,2.2309907834101383,2.586805555555556,,,,3.258568269762299,1.3703703703703702,3.4289961125085755,,3.2222222222222223,3.2222222222222223,,,,,,,0.0,,
14,2006,,,,0.8273770994446905,0.8273770994446905,0.6652240472381128,0.5717002912086471,,1.0601202404809618,0.502839116719243,0.8023090305234857,0.25424486148346737,,,,,,-169.0,,,,,,,9.889641164522681,49.0,,16.923076923076923,,,6.559897172236504,6.963302752293577,6.448275862068965,,,,4.544827586206896,18.684729064039413,5.172194777699365,,5.0,,,,,,,,0.018206633704161534,,
15,2005,,,,0.10734001483847444,0.10734001483847444,0.14249832331707069,0.15385430383387066,,0.8830188679245285,-0.2516525023607177,0.10099251262406406,0.21103896103896091,,,,,,-0.9166666666666666,,,,,,0.6723163841807909,-0.5975476839237057,-0.4242424242424243,,-0.865424430641822,,-0.33448275862068955,-0.46077072359301363,-0.5725490196078431,-0.4168600154679041,,,,-0.4035648994515538,-0.4912280701754387,-0.5107044198895028,,-0.4,,,,,,,,0.01038170322379206,,
16,2004,,,,0.58693699986031,0.58693699986031,0.6336118928440997,0.6792649450996342,,1.1721311475409837,0.7205523964256701,0.2708563841557867,0.3873873873873874,,,,,,-1.24,,,,,,0.2206896551724138,0.003554826360404828,1.5384615384615383,,47.3,,0.3446676970633693,-0.16038175046554937,1.922636103151862,-0.3449848024316109,,,,-0.42238648363252385,1.49375,-0.21538878352749924,,-0.4444444444444444,,,,,,,,0.009375984872360466,,
17,2003,,,,0.6537192264536995,0.6537192264536995,0.9513309578704674,0.8722756257732942,,-0.2422360248447205,2.477401129943503,1.2927447995941144,2.76271186440678,,,,,,2.125,,,,,,0.5591397849462365,-0.4394543225015327,12.0,,-0.45945945945945943,,1.0410094637223977,-0.3686994856722997,0.22027972027972043,-0.3943856419696272,,,,-0.41892928363245896,,-0.4288146084803467,,-0.4375,,,,,,,,0.010509554140127442,,
18,2002,,,,-0.039343118917034015,-0.039343118917034015,-0.036900964915822176,0.02557345046364068,,-0.0359281437125748,-0.4636363636363636,-0.459703947368421,-2.806122448979592,,,,,,,,,,,,-0.8434343434343434,-0.11454940282301862,-0.6666666666666666,,-0.513157894736842,,-0.639362912400455,-0.16748226082701245,1.4444444444444446,-0.1908899093955566,,,,-0.1908899093955566,,-0.14251592356687892,,-0.20000000000000007,,,,,,,,0.00956514749618198,,
19,2001,,,,-0.1964181081700761,-0.1964181081700761,-0.16504297994269335,-0.2081771457278664,,-0.4969879518072289,-0.016393442622950838,0.2374491180461329,0.20987654320987637,,,,,,,,,,,,0.45945945945945943,-0.2650374064837905,-0.7272727272727273,,-0.8549618320610687,,0.646067415730337,-0.18634282301413496,-0.5084033613445378,-0.17852773246329534,,,,-0.17852773246329534,,-0.2682784736382172,,-0.19999999999999996,,,,,,,,0.009630210728487576,,
20,2000,,,,0.5978588292762355,0.5978588292762355,0.5472278725290773,0.566594018646325,,1.477611940298507,0.5146726862302484,0.2992507712648744,-0.15183246073298418,,,,,,-0.8591549295774648,,,,,,-2.183139534883721,0.9051691372101864,-0.9738095238095238,,7.733333333333334,,-0.710412147505423,0.3457468184862691,-0.7884444444444445,0.546759186248226,,,,0.546759186248226,,0.6241917678599591,,,,,,,,,,0.00994454006502199,,
21,1999,,,,0.07830743569484677,0.07830743569484677,0.21240672821550532,0.15381391450125736,,-0.247191011235955,2.754237288135593,0.0035382574082265528,-0.8196411709159585,,,,,,-0.3660714285714286,,,,,,-11.117647058823529,-0.2829108748977923,27.000000000000004,,59.0,,0.040632054176072296,-0.18182814555019722,-0.12858249419055,-0.19047619047619047,,,,-0.19047619047619047,,,,,,,,,,,,0.009153318077803174,,
22,1998,,,,0.1278217821782177,0.1278217821782177,0.17926920208799402,0.10899372530792473,,,6.374999999999999,1.229783037475345,0.9981132075471699,,,,,,,,,,,,,0.08070692194403528,-0.9813200498132005,,-0.9787234042553191,,2.147424511545293,0.1253083374444992,0.3001007049345419,0.10075885328836431,,,,0.10075885328836431,,,,-0.3529411764705883,,,,,,,,0.01019356635566071,,
23,1997,,,,-0.18842908798714342,-0.18842908798714342,-0.26087196163809745,-0.2336598397150489,,,-0.8709677419354839,0.140607424071991,-2.859649122807017,,,,,,,,,,,,,0.006522383634746776,,,2.3571428571428568,,,0.20439691027926332,-0.553105310531053,0.5774772777654622,,,,0.5774772777654622,,,,,,,,,,,,0.006672834833319374,,
24,1996,,,,0.2430083899320814,0.2430083899320814,0.29324969705609827,0.2679713963116297,,,0.24,1.5843023255813957,-0.04682274247491647,,,,,,,,,,,,,0.12527105921601311,,,,,,0.1229357798165136,,-0.24753961634695587,,,,-0.24753961634695587,,,,,,,,,,,,0.0,,
25,1995,,,,0.8419648606383958,0.8419648606383958,0.5278806360270094,0.5399327692129361,,,0.8518518518518516,0.5221238938053099,0.09124087591240881,,,,,,,,,,,,,2.5473372781065096,,,,,,2.5515402843601898,,2.5515402843601898,,,,2.5515402843601898,,,,,,,,,,,,0.0,,
